document_id,source_dataset,prompt
35,MedQuAD,How many people are affected by steatocystoma multiplex ?
36,MedQuAD,Is pyridoxine-dependent epilepsy inherited ?
37,MedQuAD,What are the genetic changes related to Salih myopathy ?
38,MedQuAD,What are the genetic changes related to factor X deficiency ?
39,MedQuAD,What causes Hereditary leiomyomatosis and renal cell cancer ?
40,MedQuAD,What are the symptoms of Cough ?
41,MedQuAD,What is (are) Primary carnitine deficiency ?
42,MedQuAD,What is (are) Cerebellar Disorders ?
43,MedQuAD,What are the treatments for Orthostatic Hypotension ?
44,MedQuAD,what research (or clinical trials) is being done for Gout ?
45,PubMedQA,Are failures of anterior cruciate ligament reconstruction associated with steep posterior tibial slopes?
46,MedQuAD,What is the outlook for Central Cord Syndrome ?
47,MedQuAD,What are the symptoms of Pseudoachondroplasia ?
48,PubMedQA,Does microbial contamination influence the success of the hematopoietic cell transplantation outcomes?
49,MedQuAD,Is spinocerebellar ataxia type 3 inherited ?
50,MedQuAD,What are the symptoms of Uhl anomaly ?
51,MedQuAD,What are the genetic changes related to hereditary cerebral amyloid angiopathy ?
52,MedQuAD,What is (are) cyclic neutropenia ?
53,MedQuAD,"What are the symptoms of Blepharophimosis, ptosis, and epicanthus inversus syndrome type 2 ?"
54,MedQuAD,What are the genetic changes related to Brugada syndrome ?
55,PubMedQA,Does glomerular hyperfiltration in pregnancy damage the kidney in women with more parities?
56,MedQuAD,What are the symptoms of Extragonadal Germ Cell Tumors ?
57,MedQuAD,What are the treatments for chronic atrial and intestinal dysrhythmia ?
58,MedQuAD,What are the symptoms of What I need to know about Diverticular Disease ?
59,MedQuAD,What are the treatments for Cushing disease ?
60,MedQuAD,What are the genetic changes related to Graves disease ?
61,MedQuAD,How to diagnose Fibrolamellar carcinoma ?
62,MedQuAD,What are the treatments for RAPADILINO syndrome ?
63,MedQuAD,What are the treatments for Schizencephaly ?
64,MedQuAD,What are the treatments for Isaacs' Syndrome ?
65,MedQuAD,What are the symptoms of Tricho-dento-osseous syndrome ?
66,PubMedQA,Have antiepileptic drug prescription claims changed following the FDA suicidality warning?
67,MedQuAD,What are the genetic changes related to multiple lentigines syndrome ?
68,MedQuAD,"How many people are affected by mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes ?"
69,MedQuAD,How many people are affected by systemic lupus erythematosus ?
70,MedQuAD,What are the treatments for Kufs disease ?
71,MedQuAD,What are the genetic changes related to Alagille syndrome ?
72,MedQuAD,What are the treatments for protein C deficiency ?
73,MedQuAD,How many people are affected by Shprintzen-Goldberg syndrome ?
74,MedQuAD,"What are the genetic changes related to mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes ?"
75,MedQuAD,What are the treatments for Eisenmenger syndrome ?
76,MedQuAD,What are the genetic changes related to Lowe syndrome ?
77,MedQuAD,What are the treatments for vitiligo ?
78,MedQuAD,What are the symptoms of Thalamic degeneration symmetrical infantile ?
79,MedQuAD,What are the symptoms of Spinocerebellar ataxia 13 ?
80,MedQuAD,What are the treatments for trisomy 13 ?
81,MedQuAD,What are the stages of Intraocular (Uveal) Melanoma ?
82,MedQuAD,What are the treatments for Krabbe disease ?
83,MedQuAD,What to do for Nephrotic Syndrome in Adults ?
84,MedQuAD,What are the genetic changes related to familial acute myeloid leukemia with mutated CEBPA ?
85,MedQuAD,How many people are affected by Refsum disease ?
86,MedQuAD,How to prevent Gum (Periodontal) Disease ?
87,MedQuAD,What is (are) Congenital laryngeal palsy ?
88,MedQuAD,What is (are) Meningoencephalocele ?
89,MedQuAD,How to diagnose Parasites - Loiasis ?
90,MedQuAD,How to prevent Abdominal Adhesions ?
91,MedQuAD,What are the symptoms of Ehrlichiosis ?
92,MedQuAD,What is (are) Porokeratosis of Mibelli ?
93,MedQuAD,What are the symptoms of Irons Bhan syndrome ?
94,PubMedQA,Does occupational nuclear power plant radiation affect conception and pregnancy?
95,MedQuAD,What are the symptoms of Hemochromatosis ?
96,MedQuAD,What are the genetic changes related to 3-methylcrotonyl-CoA carboxylase deficiency ?
97,MedQuAD,How many people are affected by Rett syndrome ?
98,MedQuAD,What are the symptoms of Spondyloepimetaphyseal dysplasia joint laxity ?
99,MedQuAD,What is (are) Inclusion body myositis ?
100,MedQuAD,What is (are) Sclerosing mesenteritis ?
101,MedQuAD,How many people are affected by phosphoglycerate dehydrogenase deficiency ?
102,MedQuAD,Is Schwartz Jampel syndrome type 1 inherited ?
103,MedQuAD,What are the treatments for Neuronal Migration Disorders ?
104,MedQuAD,What is (are) Prinzmetal's variant angina ?
105,MedQuAD,"What is (are) 47, XYY syndrome ?"
106,MedQuAD,Is L1 syndrome inherited ?
107,MedQuAD,"What are the treatments for X-linked intellectual disability, Siderius type ?"
108,MedQuAD,What are the symptoms of Chilaiditi syndrome ?
109,PubMedQA,Do healthier lifestyles lead to less utilization of healthcare resources?
110,MedQuAD,Is Frasier syndrome inherited ?
111,MedQuAD,What is (are) intrahepatic cholestasis of pregnancy ?
112,MedQuAD,What is (are) Occipital Neuralgia ?
113,MedQuAD,What are the symptoms of Sudden infant death syndrome ?
114,MedQuAD,How to diagnose Laron syndrome ?
115,MedQuAD,How to diagnose Nephrogenic diabetes insipidus ?
116,MedQuAD,What are the treatments for hereditary angioedema ?
117,MedQuAD,How to prevent Aneurysm ?
118,MedQuAD,How many people are affected by congenital sucrase-isomaltase deficiency ?
119,MedQuAD,What are the treatments for deafness and myopia syndrome ?
120,MedQuAD,What is the outlook for Myotonia ?
121,PubMedQA,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?
122,MedQuAD,Do you have information about Child Development
123,MedQuAD,Is familial isolated pituitary adenoma inherited ?
124,MedQuAD,What are the treatments for Hemifacial microsomia ?
125,MedQuAD,Is Muenke syndrome inherited ?
126,MedQuAD,What are the treatments for Cerebrotendinous xanthomatosis ?
127,PubMedQA,Living in an urban environment and non-communicable disease risk in Thailand: Does timing matter?
128,MedQuAD,What is (are) Giardia Infections ?
129,MedQuAD,Is oculodentodigital dysplasia inherited ?
130,MedQuAD,What is (are) Chromosome 5q deletion ?
131,MedQuAD,What is (are) Tay-Sachs Disease ?
132,MedQuAD,What is (are) 15q11.2 microdeletion ?
133,MedQuAD,What are the symptoms of Sideroblastic anemia ?
134,MedQuAD,What are the treatments for Takayasu arteritis ?
135,MedQuAD,What are the treatments for Progressive deafness with stapes fixation ?
136,MedQuAD,What are the treatments for Loeys-Dietz syndrome ?
137,MedQuAD,What are the symptoms of Pyle disease ?
138,MedQuAD,What are the treatments for ophthalmo-acromelic syndrome ?
139,MedQuAD,Who is at risk for Crimean-Congo Hemorrhagic Fever (CCHF)? ?
140,MedQuAD,What is (are) Rosacea ?
141,MedQuAD,What is (are) Klippel-Trenaunay Syndrome (KTS) ?
142,MedQuAD,What are the treatments for Hypothyroidism ?
143,MedQuAD,What is (are) Dystonias ?
144,MedQuAD,What is (are) Shoulder Injuries and Disorders ?
145,MedQuAD,"What are the symptoms of Pachygyria, frontotemporal ?"
146,MedQuAD,How many people are affected by Stargardt macular degeneration ?
147,MedQuAD,What are the symptoms of Spastic paraplegia 26 ?
148,MedQuAD,What are the symptoms of Von Willebrand disease ?
149,MedQuAD,What is (are) Neuroferritinopathy ?
150,MedQuAD,What are the symptoms of Amyopathic dermatomyositis ?
151,MedQuAD,"How many people are affected by spondyloepimetaphyseal dysplasia, Strudwick type ?"
152,MedQuAD,Is 6q24-related transient neonatal diabetes mellitus inherited ?
153,MedQuAD,What is the outlook for Thyrotoxic Myopathy ?
154,MedQuAD,What are the symptoms of Sabinas brittle hair syndrome ?
155,MedQuAD,Is Hereditary spherocytosis inherited ?
156,MedQuAD,What are the treatments for Chronic Eosinophilic Leukemia ?
157,MedQuAD,What is (are) familial dysautonomia ?
158,MedQuAD,Is Severe combined immunodeficiency inherited ?
159,PubMedQA,Is prophylactic fixation a cost-effective method to prevent a future contralateral fragility hip fracture?
160,MedQuAD,What are the treatments for alpha-mannosidosis ?
161,MedQuAD,What are the genetic changes related to trisomy 13 ?
162,PubMedQA,Do ART patients face higher C-section rates during their stage of delivery?
163,PubMedQA,"Body perception: do parents, their children, and their children's physicians perceive body image differently?"
164,MedQuAD,What is (are) Inflammatory linear verrucous epidermal nevus ?
165,MedQuAD,What are the symptoms of Prostate Cancer ?
166,MedQuAD,How many people are affected by Parkinson disease ?
167,MedQuAD,What are the treatments for Simpson-Golabi-Behmel syndrome ?
168,MedQuAD,Is Pitt-Hopkins syndrome inherited ?
169,MedQuAD,Is Cleidocranial dysplasia inherited ?
170,MedQuAD,What are the genetic changes related to sporadic hemiplegic migraine ?
171,MedQuAD,What is (are) Urachal cancer ?
172,MedQuAD,Is FOXG1 syndrome inherited ?
173,MedQuAD,What causes Respiratory Distress Syndrome ?
174,MedQuAD,"What are the genetic changes related to distal hereditary motor neuropathy, type V ?"
175,MedQuAD,What is (are) autosomal dominant vitreoretinochoroidopathy ?
176,MedQuAD,How to diagnose Isolated levocardia ?
177,MedQuAD,What is (are) Cough ?
178,MedQuAD,what research (or clinical trials) is being done for Kuru ?
179,MedQuAD,What are the genetic changes related to Crigler-Najjar syndrome ?
180,MedQuAD,What are the symptoms of Congenital porphyria ?
181,MedQuAD,How many people are affected by familial glucocorticoid deficiency ?
182,MedQuAD,What is (are) Urinary Incontinence ?
183,MedQuAD,What are the symptoms of Atelosteogenesis type 1 ?
184,MedQuAD,What is (are) nonsyndromic aplasia cutis congenita ?
185,MedQuAD,What are the treatments for sialidosis ?
186,MedQuAD,Is spastic paraplegia type 4 inherited ?
187,MedQuAD,What are the symptoms of Hepatitis B: What Asian and Pacific Islander Americans Need to Know ?
188,MedQuAD,Is congenital fibrosis of the extraocular muscles inherited ?
189,MedQuAD,How many people are affected by LAMA2-related muscular dystrophy ?
190,MedQuAD,What is (are) Serpiginous choroiditis ?
191,MedQuAD,What is (are) pilomatricoma ?
192,MedQuAD,What is (are) Stress ?
193,MedQuAD,Who is at risk for Paranasal Sinus and Nasal Cavity Cancer? ?
194,PubMedQA,Does a family meetings intervention prevent depression and anxiety in family caregivers of dementia patients?
195,MedQuAD,What are the symptoms of Atherosclerosis ?
196,MedQuAD,What is (are) Autoimmune pancreatitis ?
197,MedQuAD,Is pulmonary arterial hypertension inherited ?
198,MedQuAD,What causes Iridocorneal endothelial syndrome ?
199,MedQuAD,What is (are) Creutzfeldt-Jakob Disease ?
200,PubMedQA,Juvenile ankylosing spondylitis--is it the same disease as adult ankylosing spondylitis?
201,MedQuAD,What are the treatments for Penile Cancer ?
202,MedQuAD,What is (are) Hereditary sensory and autonomic neuropathy ?
203,MedQuAD,What causes Insulin Resistance and Prediabetes ?
204,PubMedQA,Is there awareness of pharmaceutical expenditure in the reformed primary care system?
205,MedQuAD,What are the treatments for adenosine deaminase deficiency ?
206,MedQuAD,What are the symptoms of Mac Dermot Winter syndrome ?
207,MedQuAD,What is (are) Lennox-Gastaut syndrome ?
208,PubMedQA,Will CT ordering practices change if we educate residents about the potential effects of radiation exposure?
209,MedQuAD,What are the treatments for Gamma heavy chain disease ?
210,PubMedQA,Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?
211,PubMedQA,Does hippocampal atrophy on MRI predict cognitive decline?
212,MedQuAD,How many people are affected by ADCY5-related dyskinesia ?
213,PubMedQA,Nasal polyposis: is there an inheritance pattern?
214,MedQuAD,What are the complications of Nephrotic Syndrome in Adults ?
215,MedQuAD,What is (are) Familial juvenile hyperuricaemic nephropathy ?
216,MedQuAD,What is (are) Mowat-Wilson syndrome ?
217,MedQuAD,What is (are) Wolff-Parkinson-White syndrome ?
218,MedQuAD,Do you have information about Prenatal Testing
219,MedQuAD,What are the treatments for congenital hemidysplasia with ichthyosiform erythroderma and limb defects ?
220,MedQuAD,What causes Pemphigus vulgaris ?
221,MedQuAD,What is the outlook for Migraine ?
222,MedQuAD,What is (are) Collapsed Lung ?
223,MedQuAD,What to do for Cushing's Syndrome ?
224,MedQuAD,What causes Hemochromatosis ?
225,MedQuAD,What are the symptoms of Heart Failure ?
226,MedQuAD,Do you have information about Sodium
227,MedQuAD,"Is spondyloepimetaphyseal dysplasia, Strudwick type inherited ?"
228,MedQuAD,What is the outlook for SUNCT Headache ?
229,PubMedQA,Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?
230,MedQuAD,What is (are) Bardet-Biedl syndrome ?
231,MedQuAD,What causes Mycobacterium Malmoense ?
232,MedQuAD,What is (are) juvenile myoclonic epilepsy ?
233,MedQuAD,What are the symptoms of Spinocerebellar ataxia 15 ?
234,MedQuAD,How many people are affected by restless legs syndrome ?
235,MedQuAD,Is nemaline myopathy inherited ?
236,MedQuAD,What causes Bronchiectasis ?
237,MedQuAD,What is the outlook for Atrial Fibrillation and Stroke ?
238,MedQuAD,What are the symptoms of Bardet-Biedl syndrome 12 ?
239,MedQuAD,What is (are) High Blood Pressure ?
240,MedQuAD,What are the treatments for Menkes Disease ?
241,MedQuAD,What are the genetic changes related to CHARGE syndrome ?
242,MedQuAD,What are the treatments for Transmissible Spongiform Encephalopathies ?
243,MedQuAD,What is (are) Noonan syndrome 3 ?
244,MedQuAD,What is (are) Sneddon syndrome ?
245,MedQuAD,What causes Freiberg's disease ?
246,MedQuAD,What are the symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus ?
247,MedQuAD,Who is at risk for Parasites - Schistosomiasis? ?
248,MedQuAD,What is (are) type 1 diabetes ?
249,MedQuAD,How many people are affected by osteoglophonic dysplasia ?
250,MedQuAD,what research (or clinical trials) is being done for Hypopharyngeal Cancer ?
251,MedQuAD,What causes Diffuse gastric cancer ?
252,MedQuAD,What are the symptoms of Neutropenia lethal congenital with eosinophilia ?
253,MedQuAD,How many people are affected by primary myelofibrosis ?
254,MedQuAD,What causes Isovaleric acidemia ?
255,MedQuAD,what research (or clinical trials) is being done for Dysgraphia ?
256,MedQuAD,What are the symptoms of Adult Central Nervous System Tumors ?
257,MedQuAD,What is (are) Noonan syndrome 6 ?
258,MedQuAD,What are the treatments for Townes-Brocks syndrome ?
259,MedQuAD,What is the outlook for Neuroleptic Malignant Syndrome ?
260,MedQuAD,Is GRACILE syndrome inherited ?
261,MedQuAD,What is the outlook for Hairy Cell Leukemia ?
262,MedQuAD,What is (are) Langerhans Cell Histiocytosis ?
263,MedQuAD,What are the treatments for Donnai-Barrow syndrome ?
264,MedQuAD,what research (or clinical trials) is being done for Lissencephaly ?
265,MedQuAD,How to diagnose Fatal familial insomnia ?
266,MedQuAD,What are the treatments for Salih myopathy ?
267,MedQuAD,What are the symptoms of Charcot-Marie-Tooth disease type 2H ?
268,MedQuAD,Who is at risk for What I need to know about Hepatitis C? ?
269,MedQuAD,What are the symptoms of Arthrogryposis like disorder ?
270,MedQuAD,Do you have information about Arsenic
271,MedQuAD,What are the genetic changes related to CHST3-related skeletal dysplasia ?
272,MedQuAD,Do you have information about First Aid
273,MedQuAD,What is (are) arginine:glycine amidinotransferase deficiency ?
274,MedQuAD,What is (are) Cancer ?
275,MedQuAD,What are the symptoms of Cardiocranial syndrome ?
276,MedQuAD,Who is at risk for Microscopic Colitis: Collagenous Colitis and Lymphocytic Colitis? ?
277,MedQuAD,What is the outlook for Zellweger Syndrome ?
278,MedQuAD,How many people are affected by ophthalmo-acromelic syndrome ?
279,MedQuAD,What is (are) Axenfeld-Rieger syndrome ?
280,MedQuAD,What is (are) Infectious arthritis ?
281,MedQuAD,Do you have information about Kidney Transplantation
282,MedQuAD,"What are the symptoms of Epidermolysis bullosa simplex, Dowling-Meara type ?"
283,MedQuAD,what research (or clinical trials) is being done for Childhood Central Nervous System Germ Cell Tumors ?
284,MedQuAD,What is (are) Hemophilia ?
285,MedQuAD,What is the outlook for Corticobasal Degeneration ?
286,PubMedQA,Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?
287,MedQuAD,"Is Hereditary endotheliopathy, retinopathy, nephropathy, and stroke inherited ?"
288,MedQuAD,How to prevent Varicose Veins ?
289,MedQuAD,How to diagnose Congenital sucrase-isomaltase deficiency ?
290,MedQuAD,"What are the symptoms of Deafness, dystonia, and cerebral hypomyelination ?"
291,MedQuAD,Is Cornelia de Lange syndrome inherited ?
292,PubMedQA,Does prior benign prostate biopsy predict outcome for patients treated with radical perineal prostatectomy?
293,MedQuAD,What is (are) mucopolysaccharidosis type VI ?
294,MedQuAD,How many people are affected by glucose-galactose malabsorption ?
295,MedQuAD,What are the symptoms of Papillary renal cell carcinoma ?
296,MedQuAD,"What are the treatments for Epidermolysis bullosa simplex, generalized ?"
297,MedQuAD,What is (are) Variant Creutzfeldt-Jakob disease ?
298,MedQuAD,How many people are affected by hereditary fructose intolerance ?
299,MedQuAD,What are the treatments for Chondrocalcinosis 2 ?
300,MedQuAD,Who is at risk for Gastrointestinal Stromal Tumors? ?
301,MedQuAD,What are the symptoms of Microcephaly deafness syndrome ?
302,MedQuAD,What are the symptoms of Dumping Syndrome ?
303,MedQuAD,What are the symptoms of Leber congenital amaurosis 4 ?
304,MedQuAD,What is (are) Anophthalmia plus syndrome ?
305,MedQuAD,What causes Gas in the Digestive Tract ?
306,MedQuAD,What are the symptoms of Trichotillomania ?
307,MedQuAD,What are the symptoms of Deafness enamel hypoplasia nail defects ?
308,MedQuAD,How to diagnose Heart Valve Disease ?
309,MedQuAD,What is (are) X-linked infantile nystagmus ?
310,MedQuAD,What are the treatments for hereditary leiomyomatosis and renal cell cancer ?
311,MedQuAD,Is autosomal recessive congenital methemoglobinemia inherited ?
312,MedQuAD,What are the treatments for Leukemia ?
313,MedQuAD,what research (or clinical trials) is being done for Huntington's Disease ?
314,MedQuAD,What is (are) Kidney Stones in Adults ?
315,MedQuAD,What is (are) Ovarian carcinosarcoma ?
316,MedQuAD,What are the treatments for Kyasanur Forest Disease (KFD) ?
317,MedQuAD,What is (are) Nager syndrome ?
318,MedQuAD,What are the symptoms of Neutral lipid storage disease with myopathy ?
319,MedQuAD,What are the symptoms of Bronchitis ?
320,MedQuAD,Is dopa-responsive dystonia inherited ?
321,MedQuAD,what research (or clinical trials) is being done for Familial Periodic Paralyses ?
322,MedQuAD,How to diagnose Kawasaki Disease ?
323,MedQuAD,What are the symptoms of X-linked magnesium deficiency with Epstein-Barr virus infection and neoplasia ?
324,MedQuAD,What are the symptoms of Hypertrophic neuropathy of Dejerine-Sottas ?
325,MedQuAD,What are the treatments for Thrombotic Thrombocytopenic Purpura ?
326,MedQuAD,"What are the symptoms of Fibular aplasia, tibial campomelia, and oligosyndactyly syndrome ?"
327,MedQuAD,How many people are affected by Hearing Loss ?
328,MedQuAD,What are the symptoms of Parathyroid Cancer ?
329,MedQuAD,What are the treatments for Hypoglycemia ?
330,MedQuAD,What is (are) Klinefelter's Syndrome ?
331,MedQuAD,What are the treatments for Marfan Syndrome ?
332,MedQuAD,How many people are affected by oculocutaneous albinism ?
333,MedQuAD,How many people are affected by thrombocytopenia-absent radius syndrome ?
334,MedQuAD,What are the symptoms of Glass-Chapman-Hockley syndrome ?
335,MedQuAD,Is hypomagnesemia with secondary hypocalcemia inherited ?
336,MedQuAD,"Is 47,XYY syndrome inherited ?"
337,MedQuAD,What are the stages of Childhood Non-Hodgkin Lymphoma ?
338,MedQuAD,What are the symptoms of Giant platelet syndrome ?
339,PubMedQA,Multidisciplinary breast cancer clinics. Do they work?
340,MedQuAD,What is (are) Schindler disease ?
341,MedQuAD,"What is (are) Early-onset, autosomal dominant Alzheimer disease ?"
342,MedQuAD,What are the treatments for mucopolysaccharidosis type IV ?
343,MedQuAD,What is the outlook for Adult Hodgkin Lymphoma ?
344,MedQuAD,What is (are) hypomagnesemia with secondary hypocalcemia ?
345,MedQuAD,What is (are) Oculodentodigital dysplasia ?
346,MedQuAD,What is (are) Marshall-Smith syndrome ?
347,MedQuAD,What is (are) Brown-Sequard Syndrome ?
348,MedQuAD,What is (are) familial lipoprotein lipase deficiency ?
349,MedQuAD,How to prevent Hearing Loss ?
350,MedQuAD,What is (are) Primary Sclerosing Cholangitis ?
351,MedQuAD,What are the treatments for autosomal recessive spastic ataxia of Charlevoix-Saguenay ?
352,MedQuAD,What are the symptoms of Rheumatoid nodulosis ?
353,MedQuAD,What are the genetic changes related to Lujan syndrome ?
354,MedQuAD,What are the stages of Gallbladder Cancer ?
355,MedQuAD,What is (are) Globozoospermia ?
356,MedQuAD,How many people are affected by hereditary hypophosphatemic rickets ?
357,MedQuAD,How many people are affected by autosomal recessive hyper-IgE syndrome ?
358,MedQuAD,What is (are) Femoral facial syndrome ?
359,MedQuAD,What are the symptoms of Diffuse cutaneous mastocytosis ?
360,MedQuAD,What is (are) Tinea Infections ?
361,MedQuAD,What is (are) glycogen storage disease type VI ?
362,MedQuAD,How many people are affected by beta thalassemia ?
363,MedQuAD,How many people are affected by primary spontaneous pneumothorax ?
364,MedQuAD,How many people are affected by hereditary xanthinuria ?
365,MedQuAD,Is Fragile X syndrome inherited ?
366,MedQuAD,Is glycogen storage disease type VII inherited ?
367,MedQuAD,What are the symptoms of Leukoencephalopathy - dystonia - motor neuropathy ?
368,MedQuAD,What are the symptoms of Noonan syndrome 6 ?
369,MedQuAD,Is inclusion body myopathy 2 inherited ?
370,MedQuAD,What is (are) Peritoneal Disorders ?
371,MedQuAD,What are the symptoms of Lactose Intolerance ?
372,MedQuAD,What are the treatments for Factor XIII deficiency ?
373,MedQuAD,What is (are) Childhood Vascular Tumors ?
374,MedQuAD,What are the treatments for succinic semialdehyde dehydrogenase deficiency ?
375,PubMedQA,"Young-Burgess classification of pelvic ring fractures: does it predict mortality, transfusion requirements, and non-orthopaedic injuries?"
376,MedQuAD,How many people are affected by 3-beta-hydroxysteroid dehydrogenase deficiency ?
377,MedQuAD,Is Naegeli-Franceschetti-Jadassohn syndrome/dermatopathia pigmentosa reticularis inherited ?
378,MedQuAD,What is (are) Hallermann-Streiff syndrome ?
379,MedQuAD,What are the genetic changes related to Opitz G/BBB syndrome ?
380,MedQuAD,What causes Meesmann corneal dystrophy ?
381,MedQuAD,What is (are) Renal tubular acidosis with deafness ?
382,MedQuAD,What is (are) DOORS syndrome ?
383,PubMedQA,Are pediatric concussion patients compliant with discharge instructions?
384,MedQuAD,How many people are affected by autosomal dominant nocturnal frontal lobe epilepsy ?
385,MedQuAD,What are the treatments for cherubism ?
386,MedQuAD,What is (are) Complete androgen insensitivity syndrome ?
387,MedQuAD,Is paramyotonia congenita inherited ?
388,MedQuAD,What is (are) Adult Hodgkin Lymphoma ?
389,MedQuAD,What are the treatments for Hypotension ?
390,MedQuAD,Do you have information about Pain Relievers
391,MedQuAD,How to prevent Parasites - Trichuriasis (also known as Whipworm Infection) ?
392,MedQuAD,What causes Glycogen storage disease type 13 ?
393,MedQuAD,What to do for Urinary Incontinence in Children ?
394,MedQuAD,How many people are affected by prolidase deficiency ?
395,MedQuAD,How many people are affected by androgenetic alopecia ?
396,MedQuAD,Is osteoporosis-pseudoglioma syndrome inherited ?
397,MedQuAD,What are the treatments for Salivary Gland Cancer ?
398,MedQuAD,What are the treatments for Ovarian Germ Cell Tumors ?
399,MedQuAD,Is Glycogen storage disease type 4 inherited ?
400,MedQuAD,Is Floating-Harbor syndrome inherited ?
401,MedQuAD,How to prevent Pulmonary Embolism ?
402,MedQuAD,What are the treatments for Hemochromatosis ?
403,MedQuAD,what research (or clinical trials) is being done for Moebius Syndrome ?
404,MedQuAD,How to diagnose Best vitelliform macular dystrophy ?
405,PubMedQA,Does use of hydrophilic guidewires significantly improve technical success rates of peripheral PTA?
406,MedQuAD,How many people are affected by frontonasal dysplasia ?
407,MedQuAD,What are the symptoms of Acrorenal mandibular syndrome ?
408,MedQuAD,What is (are) Aicardi-Goutieres syndrome type 2 ?
409,MedQuAD,what is the risk for my pet for Rabies ?
410,MedQuAD,What are the genetic changes related to MyD88 deficiency ?
411,MedQuAD,How many people are affected by holocarboxylase synthetase deficiency ?
412,MedQuAD,Who is at risk for Kawasaki Disease? ?
413,MedQuAD,What is (are) Lipoid Proteinosis ?
414,MedQuAD,Is Sjgren syndrome inherited ?
415,MedQuAD,What are the treatments for metatropic dysplasia ?
416,MedQuAD,What is (are) multiple mitochondrial dysfunctions syndrome ?
417,MedQuAD,What causes Dry Mouth ?
418,MedQuAD,What are the treatments for myoclonus-dystonia ?
419,MedQuAD,What are the symptoms of Alveolar capillary dysplasia ?
420,MedQuAD,How many people are affected by von Willebrand disease ?
421,MedQuAD,How many people are affected by Kniest dysplasia ?
422,MedQuAD,What are the treatments for Lymphatic filariasis ?
423,MedQuAD,What are the treatments for hypomyelination and congenital cataract ?
424,MedQuAD,What is (are) medullary cystic kidney disease type 1 ?
425,MedQuAD,Is Leukoencephalopathy with vanishing white matter inherited ?
426,MedQuAD,What are the symptoms of Accessory deep peroneal nerve ?
427,MedQuAD,How to diagnose Vulvar Cancer ?
428,MedQuAD,Is congenital insensitivity to pain inherited ?
429,MedQuAD,What is (are) Cone-rod dystrophy ?
430,MedQuAD,What are the symptoms of Cryptomicrotia brachydactyly syndrome ?
431,MedQuAD,what research (or clinical trials) is being done for Headache ?
432,MedQuAD,How many people are affected by Prader-Willi syndrome ?
433,MedQuAD,How many people are affected by 5-alpha reductase deficiency ?
434,MedQuAD,How many people are affected by narcolepsy ?
435,MedQuAD,What are the symptoms of Marshall syndrome ?
436,MedQuAD,How many people are affected by cone-rod dystrophy ?
